ID,Sensitivity,Flux,Node type,total
NaEX_Neuron,2.404446202826763e-16,1,Neuron,1.0000000000000002
DM_pheme(c)_Neuron,0.9814617221041976,0,Terminal,0.9814617221041976
DM_pheme(c),0.9814459617323242,0,Terminal,0.9814459617323242
GLCt1r,0.71772297091666315,0.2275047612364218,Astrocyte,0.945227732153085
Kt1r_Neuron,0,0.9327452401202376,Neuron,0.9327452401202376
DM_7dhf,0.8976463810166139,0,Terminal,0.8976463810166139
DM_thf(c),0.8976463810166139,0,Terminal,0.8976463810166139
DM_10fthf7glu_Neuron,0.8944516349892881,0,Terminal,0.8944516349892881
sink_dhf(c)_Neuron,0.8939939869465993,0,Terminal,0.8939939869465993
DM_7thf_Neuron,0.8917709532359083,0,Terminal,0.8917709532359083
H2Otm_Neuron,0,0.8873408209388892,Neuron,0.8873408209388892
GLGNS1,0.8826984114934228,0,Astrocyte,0.8826984114934228
DM_6dhf,0.866475314959735,0,Terminal,0.866475314959735
DM_10fthf6glu_Neuron,0.8633720283068888,0,Terminal,0.8633720283068888
DM_6thf_Neuron,0.860151950077783,0,Terminal,0.860151950077783
ATPS4m_Neuron,0,0.8581238802303921,Neuron,0.8581238802303921
ATPtm_Neuron,0,0.8581238802303921,Neuron,0.8581238802303921
PIt2m_Neuron,4.7456175055791374e-18,0.858123880230392,Neuron,0.858123880230392
GLCt1r_Neuron,0.7000939622226612,0.14347561138638967,Neuron,0.8435695736090508
DM_10fthf5glu_Neuron,0.8253601184133872,0,Terminal,0.8253601184133872
DM_5thf_Neuron,0.8213289154971173,0,Terminal,0.8213289154971173
NaKt_Neuron,0,0.8142410713786293,Neuron,0.8142410713786293
DM_atp(c)_Neuron,0.15069627744127106,0.6019729206845044,Terminal,0.7526691981257754
sink_tyr-L(m),0.7396261700628295,0,Terminal,0.7396261700628295
GLCt2r,0.71772297091666315,0,Astrocyte,0.71772297091666315
GLCt2r_Int,0.71772297091666315,0,Astrocyte,0.71772297091666315
CYOR-u10m_Neuron,1.518597601785324e-16,0.7132870423130447,Neuron,0.71328704231304485
EX_crn(e),0.7123613683567176,0,Exchange,0.7123613683567176
DM_5thf,0.7098445200998579,0,Terminal,0.7098445200998579
3DPHBH2,0.708336244735217,0,Astrocyte,0.708336244735217
3DPHBH1,0.70729558371078,0,Astrocyte,0.70729558371078
DM_10fthf5glu,0.6981407960164098,0,Terminal,0.6981407960164098
EX_leu-L(e),0.6963535691975361,0,Exchange,0.6963535691975361
"NADH2-u10m_Neuron",0,0.6821317968990064,Neuron,0.6821317968990064
EX_ile-L(e),0.6791874359907907,0,Exchange,0.6791874359907907
EX_bhb(e),0.6462000496953882,0,Exchange,0.6462000496953882
EX_val-L(e),0.6395257899722554,0,Exchange,0.6395257899722554
EX_acac(e),0.6305919084457943,0,Exchange,0.6305919084457943
AACOAT_Neuron,0.6265040045668269,0,Neuron,0.6265040045668269
EX_pro-L(e),0.6247002506112946,0,Exchange,0.6247002506112946
EX_lys-L(e),0.6228772908105258,0,Exchange,0.6228772908105258
EX_etoh(e),0.6110154674983029,0,Exchange,0.6110154674983029
EX_NACASPt_Int,0.6084681687916371,0,Exchange,0.6084681687916371
sink_4hpro-LT(m)_Neuron,0.6005522911693192,0,Terminal,0.6005522911693192
EX_h2o(e),0,0.594895386299718,Exchange,0.594895386299718
O2t_Int,3.6066693042401447e-16,0.5948953862997173,Astrocyte,0.5948953862997176
CYOOm2_Neuron,4.176143404909641e-16,0.5948953862997168,Neuron,0.5948953862997173
O2t_Neuron,0,0.5948953862997173,Neuron,0.5948953862997173
O2tm_Neuron,0,0.5948953862997173,Neuron,0.5948953862997173
EX_o2(e),0,0.594895386299717,Exchange,0.594895386299717
O2t,0,0.594895386299717,Astrocyte,0.594895386299717
CO2t,0,0.5948953862997168,Astrocyte,0.5948953862997168
CO2t_Int,0,0.5948953862997168,Astrocyte,0.5948953862997168
CO2t_Neuron,0,0.5948953862997168,Neuron,0.5948953862997168
CO2tm_Neuron,0,0.5948953862997168,Neuron,0.5948953862997168
EX_co2(e),0,0.5948953862997168,Exchange,0.5948953862997168
sink_4hpro-LT(m),0.59382363189706,0,Terminal,0.59382363189706
EX_lac-L(e),0.5927344046472,0,Exchange,0.5927344046472
DM_10fthf6glu,0.5914578653246297,0,Terminal,0.5914578653246297
DM_6thf,0.5914578653246297,0,Terminal,0.5914578653246297
GLUVESSEC,0.5879223687504413,0,Astrocyte,0.5879223687504413
DM_6dhf_Neuron,0.5878126418006673,0,Terminal,0.5878126418006673
EX_ppa(e),0.5867312899602047,0,Exchange,0.5867312899602047
EX_3aib(e),0.5764691026112128,0,Exchange,0.5764691026112128
EX_4abut(e),0.5735118844228787,0,Exchange,0.5735118844228787
GLUt6,0.5735118844228786,0,Astrocyte,0.5735118844228786
EX_acald(e),0.5710311749817156,0,Exchange,0.5710311749817156
EX_orn(e),0.557298301938828,0,Exchange,0.557298301938828
EX_pyr(e),0.5476039258877619,0,Exchange,0.5476039258877619
MDHm_Neuron,2.372808752789569e-17,0.525771967612382,Neuron,0.525771967612382
EX_ac(e),0.5187903070258014,0,Exchange,0.5187903070258014
C160CPT2_Neuron,0.5035992905001541,0,Neuron,0.5035992905001541
C204CPT2_Neuron,0.5035992905001541,0,Neuron,0.5035992905001541
C226CPT2_Neuron,0.5035992905001541,0,Neuron,0.5035992905001541
CYSGLUexR,0.49186567223944955,0,Astrocyte,0.49186567223944955
SERGLNexR,0.49186567223944955,0,Astrocyte,0.49186567223944955
GLNtN1,0.4877863136962159,0,Astrocyte,0.4877863136962159
DM_1a2425thvitd2_Neuron,0.47994003517726846,0,Terminal,0.47994003517726846
DM_1a2425thvitd3_Neuron,0.47994003517726846,0,Terminal,0.47994003517726846
EX_cys-L(e),0.47567183422225523,0,Exchange,0.47567183422225523
sink_dmgly,0.4744738909210171,0,Terminal,0.4744738909210171
EX_ala-B(e),0.4721204431420494,0,Exchange,0.4721204431420494
sink_dmgly_Neuron,0.4569737160686775,0,Terminal,0.4569737160686775
GLYCLTDym_Neuron,0.45697371606867704,0,Neuron,0.45697371606867704
EX_nh4(e),0.444801894356584,0,Exchange,0.444801894356584
ETOHMO_Neuron,0.43212301374922046,0,Neuron,0.43212301374922046
EX_sarcs(e),0.4287387231595196,0,Exchange,0.4287387231595196
GND,0.4127056666134207,0,Astrocyte,0.4127056666134207
AKGMALtm_Neuron,0,0.4083399935410399,Neuron,0.4083399935410399
HMGCOASim_Neuron,2.0406155273990293e-16,0.40833999354103956,Neuron,0.4083399935410398
CSm_Neuron,9.96579676171619e-17,0.40833999354103956,Neuron,0.40833999354103967
FUMm_Neuron,7.59298800892662e-17,0.40833999354103956,Neuron,0.4083399935410396
ICDHyrm_Neuron,7.59298800892662e-17,0.40833999354103956,Neuron,0.4083399935410396
PYRt2m_Neuron,2.847370503347483e-17,0.40833999354103956,Neuron,0.4083399935410396
SUCD1m_Neuron,5.694741006694966e-17,0.40833999354103956,Neuron,0.4083399935410396
ACONTm_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
AKGDm_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
ETF_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
ETFQO_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
HMGLm_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
OCOAT1m_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
PDHm_Neuron,0,0.40833999354103956,Neuron,0.40833999354103956
THD1m_Neuron,4.745617505579138e-17,0.40833999354103945,Neuron,0.4083399935410395
MDH_Neuron,8.58956768509824e-16,0.408339993541037,Neuron,0.40833999354103784
ASPGLUm_Neuron,1.8033346521200724e-16,0.408339993541037,Neuron,0.40833999354103717
ASPTA_Neuron,0,0.408339993541037,Neuron,0.408339993541037
ASPTAm_Neuron,0,0.408339993541037,Neuron,0.408339993541037
"24,25VITD2Hm",0.39035911036230614,0,Astrocyte,0.39035911036230614
"24,25VITD3Hm",0.39035911036230614,0,Astrocyte,0.39035911036230614
25VITD2Hm,0.39035911036230614,0,Astrocyte,0.39035911036230614
25VITD3Hm,0.39035911036230614,0,Astrocyte,0.39035911036230614
ALR,0.3815111982957977,0,Astrocyte,0.3815111982957977
ACSm_Neuron,0.37166381573125856,0,Neuron,0.37166381573125856
EX_ser-L(e),0.36645008372959603,0,Exchange,0.36645008372959603
COQ3m_Neuron,0.36493086035184585,0,Neuron,0.36493086035184585
ETOHMO,0.3461492786152285,0,Astrocyte,0.3461492786152285
ALCD2yf,0.3461492786152284,0,Astrocyte,0.3461492786152284
ALDD2y,0.3461492786152284,0,Astrocyte,0.3461492786152284
PYK,1.8412995921647056e-15,0.3369869303271441,Astrocyte,0.33698693032714594
GAPD,9.491235011158273e-17,0.3369869303271446,Astrocyte,0.3369869303271447
PGK,1.898247002231655e-17,0.3369869303271446,Astrocyte,0.3369869303271446
ENO,7.7116284465661e-17,0.3369869303271441,Astrocyte,0.33698693032714416
PGM,0,0.3369869303271441,Astrocyte,0.3369869303271441
LDH_L_Neuron,5.220179256137051e-17,0.33698693032714,Neuron,0.33698693032714006
L-LACt2r_Int,2.8450946632094066e-32,0.33698693032714,Astrocyte,0.33698693032714
L-LACt2r_Neuron,2.8450946632094066e-32,0.33698693032714,Neuron,0.33698693032714
LDH_L,2.8450946632094066e-32,0.33698693032714,Astrocyte,0.33698693032714
COQ7m,0.32708682277580464,0,Astrocyte,0.32708682277580464
DGNSKm,0.31753593914627465,0,Astrocyte,0.31753593914627465
MMSAD1m,0.3085852034991958,0,Astrocyte,0.3085852034991958
ACOAD8m_Neuron,0.30007410073172475,0,Neuron,0.30007410073172475
P45011A1m_Neuron,0.2968668141841054,0,Neuron,0.2968668141841054
GTHOm_Neuron,0.29686681418410504,0,Neuron,0.29686681418410504
NMNATm_Neuron,0.296866814184104,0,Neuron,0.296866814184104
EX_glc(e),0,0.293960172233656,Exchange,0.293960172233656
GLYOXm,0.28164175271335695,0,Astrocyte,0.28164175271335695
DM_nadph(c)_Neuron,0.28164175271335673,0,Terminal,0.28164175271335673
GLYOXm_Neuron,0.28164175271335673,0,Neuron,0.28164175271335673
EX_lac-D(e),0.2816417527133566,0,Exchange,0.2816417527133566
CYSO,0.2730459438691784,0,Astrocyte,0.2730459438691784
PPAt_Neuron,0.2613192597124655,0,Neuron,0.2613192597124655
H2Ot,7.474347571287142e-17,0.2551643238024977,Astrocyte,0.25516432380249776
NH4t3r_Neuron,1.5185976017853245e-16,0.2551643238024936,Neuron,0.25516432380249376
NH3tm_Neuron,4.745617505579138e-17,0.2551643238024936,Neuron,0.25516432380249365
NH4t3r_Int,2.8450946632094066e-32,0.2551643238024936,Astrocyte,0.2551643238024936
GLNtN1_Neuron,2.2778964026779867e-16,0.2551643238024872,Neuron,0.25516432380248744
GLNS,1.138948201338993e-16,0.2551643238024872,Astrocyte,0.2551643238024873
GLNtN1_Int,3.3219322539053994e-17,0.2551643238024872,Astrocyte,0.25516432380248727
GLUNm_Neuron,7.59298800892662e-17,0.2551643238024872,Neuron,0.25516432380248727
GLNtm_Neuron,0,0.2551643238024872,Neuron,0.2551643238024872
GLUt6_Int,2.8450946632094066e-32,0.2551643238024872,Astrocyte,0.2551643238024872
GLUVESSEC_Neuron,0,0.2551643238024872,Neuron,0.2551643238024872
GLUt2m_Neuron,2.847370503347483e-17,0.25516432380248066,Neuron,0.2551643238024807
GTHOm,0.2545083847575647,0,Astrocyte,0.2545083847575647
P45011A1m,0.25450838475756404,0,Astrocyte,0.25450838475756404
"1a,24,25VITD2Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,24,25VITD3Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,25VITD2Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,25VITD3Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
FPGS8m,0.2545083847575631,0,Astrocyte,0.2545083847575631
ASPGLUm,0.2468311908770477,0,Astrocyte,0.2468311908770477
ADPRDPm_Neuron,0.2468311908770466,0,Neuron,0.2468311908770466
APOCFm_Neuron,0.24683119087704614,0,Neuron,0.24683119087704614
DTKm_Neuron,0.24683119087704608,0,Neuron,0.24683119087704608
DAKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
DCKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
DGKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
SSALxm,0.24074095757367892,0,Astrocyte,0.24074095757367892
ENO_Neuron,7.59298800892662e-17,0.23761354497840462,Neuron,0.2376135449784047
GAPD_Neuron,9.016673260600362e-17,0.23761354497840462,Neuron,0.2376135449784047
PGK_Neuron,5.694741006694966e-17,0.23761354497840462,Neuron,0.23761354497840467
PGM_Neuron,0,0.23761354497840462,Neuron,0.23761354497840462
PYK_Neuron,0,0.23761354497840462,Neuron,0.23761354497840462
L-LACtm,0.23163182080421377,0,Astrocyte,0.23163182080421377
ALDD2xm,0.23163182080421363,0,Astrocyte,0.23163182080421363
AKGDm,0.22982072105350101,0,Astrocyte,0.22982072105350101
HEX1,1.7084223020084897e-16,0.2275047612364218,Astrocyte,0.22750476123642197
PFK,1.7084223020084897e-16,0.2275047612364218,Astrocyte,0.22750476123642197
FBA,0,0.2275047612364218,Astrocyte,0.2275047612364218
PGI,0,0.2275047612364218,Astrocyte,0.2275047612364218
TPI,0,0.2275047612364218,Astrocyte,0.2275047612364218
LacLtm,0.2151506028648214,0,Astrocyte,0.2151506028648214
PCm,0.21279607091181432,0,Astrocyte,0.21279607091181432
DM_for,0.20701672498017332,0,Terminal,0.20701672498017332
PPAm,0.20701672498017287,0,Astrocyte,0.20701672498017287
DM_q10(m)_Neuron,0.2042792885112087,0,Terminal,0.2042792885112087
ACACt2_Neuron,0.20164994065519193,0,Neuron,0.20164994065519193
ALCD2if_Neuron,0.20143233217756473,0,Neuron,0.20143233217756473
ALR_Neuron,0.1999574601762108,0,Neuron,0.1999574601762108
EX_pe_hs(e),0.1995916731610817,0,Exchange,0.1995916731610817
PEFLIP_Int,0.1995916731610817,0,Astrocyte,0.1995916731610817
NaKt_Int,1.898247002231655e-17,0.19532483578669,Astrocyte,0.19532483578669002
SERGLNexR_Int,0.18018178760793127,0,Astrocyte,0.18018178760793127
CYSGLUexR_Int,0.1801817876079312,0,Astrocyte,0.1801817876079312
MMSAD1m_Neuron,0.1791162903049763,0,Neuron,0.1791162903049763
GLYKm_Neuron,0.17911629030497436,0,Neuron,0.17911629030497436
PNTKm_Neuron,0.17911629030497436,0,Neuron,0.17911629030497436
PEFLIPm_Neuron,0.17911629030497414,0,Neuron,0.17911629030497414
ALCD2yf_Neuron,0.1759088483639199,0,Neuron,0.1759088483639199
DM_thf(c)_Neuron,0.17424627538438464,0,Terminal,0.17424627538438464
DM_q10(m),0.1678088996947698,0,Terminal,0.1678088996947698
ASNt4_Neuron,0.16135807451028003,0,Neuron,0.16135807451028003
BTNt2_Int,2.8450946632094066e-32,0.15733754037239156,Astrocyte,0.15733754037239156
BTNt4i_Int,2.8450946632094066e-32,0.15733754037239156,Astrocyte,0.15733754037239156
PROD2m_Neuron,0.150696277441272,0,Neuron,0.150696277441272
MMCDm_Neuron,0.15069627744127184,0,Neuron,0.15069627744127184
SUCOAS1m_Neuron,0.15069627744127123,0,Neuron,0.15069627744127123
SUCOASm_Neuron,0.15069627744127123,0,Neuron,0.15069627744127123
DUTPDPm_Neuron,0.1506962774412712,0,Neuron,0.1506962774412712
ACYP_Neuron,0.15069627744127118,0,Neuron,0.15069627744127118
DM_atp(m)_Neuron,0.15069627744127106,0,Terminal,0.15069627744127106
DURIK1m_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PCFLOPm_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PEFLIP_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PSFLIP_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PSFLIPm_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
TMDK1m_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
ADK1_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
CKc_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
CREATtmdiffir_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
DPGM_Neuron,0.15069627744126937,0,Neuron,0.15069627744126937
PGI_Neuron,2.4297561628565184e-15,0.14347561138638967,Neuron,0.14347561138639212
HEX1_Neuron,1.518597601785324e-16,0.14347561138638967,Neuron,0.1434756113863898
PFK_Neuron,1.518597601785324e-16,0.14347561138638965,Neuron,0.14347561138638978
FBA_Neuron,0,0.14347561138638965,Neuron,0.14347561138638965
TPI_Neuron,0,0.14347561138638965,Neuron,0.14347561138638965
BHBt_Neuron,0.13622865829905517,0,Neuron,0.13622865829905517
ORNtiDF_Int,0.13078157017084208,0,Astrocyte,0.13078157017084208
3AIBtm,0.12333690560144794,0,Astrocyte,0.12333690560144794
DM_atp(m),0.12049383658017883,0,Terminal,0.12049383658017883
DURIK1m,0.12049383658017883,0,Astrocyte,0.12049383658017883
NTD5m,0.12049383658017883,0,Astrocyte,0.12049383658017883
HMGLm,0.12049383658017876,0,Astrocyte,0.12049383658017876
MMCDm,0.12049383658017872,0,Astrocyte,0.12049383658017872
NDPK1_Neuron,0.1185135354265836,0,Neuron,0.1185135354265836
ETF,0.11782879902661475,0,Astrocyte,0.11782879902661475
DM_for_Neuron,0.11227855560521789,0,Terminal,0.11227855560521789
Kt1r_Int,0,0.11212400096301249,Astrocyte,0.11212400096301249
sink_vitd2,0.10415462927005131,0,Astrocyte,0.10415462927005131
sink_vitd3,0.10415462927005131,0,Astrocyte,0.10415462927005131
GLUNm,0.10162624639766837,0,Astrocyte,0.10162624639766837
DM_atp(c),0.1016262463976683,0,Terminal,0.1016262463976683
DM_pchol_hs,0.1016262463976683,0,Terminal,0.1016262463976683
PSFLIP,0.1016262463976683,0,Astrocyte,0.1016262463976683
PSFLIP_Int,0.1016262463976683,0,Astrocyte,0.1016262463976683
PSFLIPm,0.1016262463976683,0,Astrocyte,0.1016262463976683
ACYP,0.10162624639766826,0,Astrocyte,0.10162624639766826
DPGase,0.10162624639766826,0,Astrocyte,0.10162624639766826
LCADi_Dm,0.09559313845952844,0,Astrocyte,0.09559313845952844
GCC2bim,0.0955931384595266,0,Astrocyte,0.0955931384595266
GCCbim,0.0955931384595266,0,Astrocyte,0.0955931384595266
PROD2m,0.09236690168139318,0,Astrocyte,0.09236690168139318
PRO1xm,0.08945010681678646,0,Astrocyte,0.08945010681678646
PYRt2r_Int,0.08680866587348109,0,Astrocyte,0.08680866587348109
sink_tyr-L(m)_Neuron,0.07638500393186803,0,Terminal,0.07638500393186803
ADPRDPm,0.06386370767950153,0,Astrocyte,0.06386370767950153
AASAD3m,0.052943694115320586,0,Astrocyte,0.052943694115320586
ASNt4,0.043281074730148215,0,Astrocyte,0.043281074730148215
ASNt4_Int,0.043281074730148215,0,Astrocyte,0.043281074730148215
ALDD2x_Neuron,0.0423115408675274,0,Neuron,0.0423115408675274
3DPHBH2_Neuron,0.04231154086752686,0,Neuron,0.04231154086752686
ACOAD1fm_Neuron,0.04231154086752679,0,Neuron,0.04231154086752679
LSOProd_Neuron,0.04231154086752677,0,Neuron,0.04231154086752677
Htm_Neuron,0.042311540867526705,0,Neuron,0.042311540867526705
ICDHxm_Neuron,0.04231154086752646,0,Neuron,0.04231154086752646
GLUDym_Neuron,0.042311540867526413,0,Neuron,0.042311540867526413
EX_o2s(e),0.04231154086752619,0,Exchange,0.04231154086752619
L-LACtm_Neuron,0.04231154086752445,0,Neuron,0.04231154086752445
EX_btn(e),0.04231154086752433,0,Exchange,0.04231154086752433
SERt4_Int,0.03564676468208343,0,Astrocyte,0.03564676468208343
SERt4,0.03564676468208341,0,Astrocyte,0.03564676468208341
GLUDym,0.032483779603356355,0,Astrocyte,0.032483779603356355
ICDHxm,0.03248377960335564,0,Astrocyte,0.03248377960335564
Htm,0.03248377960335507,0,Astrocyte,0.03248377960335507
MMSAD3m,0.030982730418854926,0,Astrocyte,0.030982730418854926
DM_ahcys_Neuron,0.028366175824142588,0,Terminal,0.028366175824142588
ATPtm,0.022932679057345556,0,Astrocyte,0.022932679057345556
PCREATtmdiffir,0.022932679057345556,0,Astrocyte,0.022932679057345556
LSOProd,0.02254895615401662,0,Astrocyte,0.02254895615401662
DM_ahcys,0.021727838673219826,0,Terminal,0.021727838673219826
SPODMm,0.020084125593157923,0,Astrocyte,0.020084125593157923
