ID,cell,AbsoluteC
10FTHF5GLUtm,Astrocyte,0.018671646970738774
10FTHF6GLUtm,Astrocyte,0.018671482032701924
10FTHF7GLUtm,Astrocyte,0.028407699381281085
10FTHFtm,Astrocyte,0.0012902231073876572
1a2425VITD2Hm,Astrocyte,0.8090352182766718
1a2425VITD3Hm,Astrocyte,0.8090352182766692
1a25VITD2Hm,Astrocyte,0.8090352182766687
1a25VITD3Hm,Astrocyte,0.8090352182766679
2425VITD2Hm,Astrocyte,0.8096384188949614
2425VITD3Hm,Astrocyte,0.8096384377766328
25HVITD2t,Astrocyte,9.758956211754724e-4
25HVITD2tInt,Astrocyte,0
25HVITD2tin,Astrocyte,9.758956214483514e-4
25HVITD2tinInt,Astrocyte,1.8582593395845008e-14
25HVITD2tinm,Astrocyte,0.002477685598410212
25HVITD2tm,Astrocyte,0.0024776855986303843
25HVITD3t,Astrocyte,9.758894251266999e-4
25HVITD3tInt,Astrocyte,3.0277600232774087e-9
25HVITD3tin,Astrocyte,9.758894252873674e-4
25HVITD3tinInt,Astrocyte,3.0277674820602188e-9
25HVITD3tinm,Astrocyte,0.00247792779362973
25HVITD3tm,Astrocyte,0.002477927793559688
25VITD2Hm,Astrocyte,0.8096384188949595
25VITD3Hm,Astrocyte,0.8096384377766397
2AMADPTm,Astrocyte,0.0027623279808530856
2OXOADOXm,Astrocyte,0.10992143059788737
2OXOADPTm,Astrocyte,0.002241793923171084
34HPLFM,Astrocyte,0.6896261814205837
3AIBTm,Astrocyte,0.10408883914812818
3AIBt,Astrocyte,0.03219041897776336
3AIBtInt,Astrocyte,0.013313453385665839
3AIBtm,Astrocyte,0.0731656315783605
3DPHBH1,Astrocyte,0.8527568835771642
3DPHBH2,Astrocyte,0.8104746012378227
3HBCDm,Astrocyte,0.15710129159141073
3HBCOAHLm,Astrocyte,0.8965418163618943
3SALAASPm,Astrocyte,8.360512927621744e-4
3SALATAim,Astrocyte,0.6903570766228034
3SPYRSPm,Astrocyte,0.8095804566088466
4ABUTtm,Astrocyte,0.0018645626451813094
4HBZCOAFm,Astrocyte,0.8965243534364675
4HBZFm,Astrocyte,0.8983571039290665
4HGLSDm,Astrocyte,0.8497425500215484
5AOPtm,Astrocyte,0.0031066783008668352
5HOXINDACTOXm,Astrocyte,0.8560061859770988
5THFtm,Astrocyte,0.018671114209124796
6DHFtm,Astrocyte,0.018671618351118312
6THFtm,Astrocyte,0.01867148192139464
7DHFtm,Astrocyte,0.028407699384051924
7THFtm,Astrocyte,0.028407699380990192
AACOAT,Astrocyte,0.011299023016406376
AACTOOR,Astrocyte,0.019272052639605776
AACTtm,Astrocyte,0.0030377690948049205
AASAD3m,Astrocyte,0.8574029644149653
AATAi,Astrocyte,7.847509389710761e-4
ABTArm,Astrocyte,0.011097535538676628
ABUTt2r,Astrocyte,0.050706793161010295
ABUTt2rInt,Astrocyte,0.04289356717982533
ACACT10m,Astrocyte,0.001214627808628345
ACACT1r,Astrocyte,0.007720379909144818
ACACT1rm,Astrocyte,0.0035747406941125087
ACACt2,Astrocyte,0.05128262005431376
ACACt2Int,Astrocyte,0.042750667812314506
ACACt2m,Astrocyte,0.8942946245319081
ACALDt,Astrocyte,0.011905043302175136
ACALDtInt,Astrocyte,9.63757346936401e-4
ACALDtm,Astrocyte,6.675858108114981e-4
ACCOALm,Astrocyte,0.12267484841186409
ACOAD10m,Astrocyte,0.0012287426792027304
ACOAD1fm,Astrocyte,0.001243570450348748
ACOAD8m,Astrocyte,0.001337683192199038
ACOAD9m,Astrocyte,0.0012276554630037914
ACONTm,Astrocyte,8.540966902702419e-4
ACRNtm,Astrocyte,0.007699808279578198
ACSm,Astrocyte,0.07049863431045048
ACt2m,Astrocyte,0.898640257592652
ACt2r,Astrocyte,0.05097909958471289
ACt2rInt,Astrocyte,0.0428425322547256
ADCim,Astrocyte,0.699180221939107
ADK1,Astrocyte,0.0020966703427640556
ADK1m,Astrocyte,0.02021599343842784
ADK3m,Astrocyte,0.00919998828598962
ADPRDPm,Astrocyte,0.8238581001409723
AGMTm,Astrocyte,0.18898040401819133
AGPRim,Astrocyte,0.7014030200761459
AGTim,Astrocyte,0.004270175725822838
AKGDm,Astrocyte,0.11818838877716459
AKGMALtm,Astrocyte,0.0038981246822445727
ALASm,Astrocyte,0.7513289833432073
ALATAL,Astrocyte,0.04035375888809222
ALATALm,Astrocyte,0.004323763580855596
ALAtN1,Astrocyte,0.0024445987284196446
ALAtN1Int,Astrocyte,8.21875338777044e-4
ALCD2if,Astrocyte,0.05422631616056551
ALCD2yf,Astrocyte,0.05435292650315165
ALDD20xm,Astrocyte,0.8560061859771011
ALDD2x,Astrocyte,0.050428357894292085
ALDD2xm,Astrocyte,0.8530498896774374
ALDD2y,Astrocyte,0.0505440525323958
ALDH1L1,Astrocyte,0.8706420841068047
ALR,Astrocyte,0.05052496361599092
AMETt2m,Astrocyte,0.027605342580159214
AOBUTDsm,Astrocyte,0.6994610816485304
APAT2rm,Astrocyte,0.012165750235061062
APOCFm,Astrocyte,0.803570345327262
APOCLYSBTNPm,Astrocyte,0.15660138704579743
ARGDCm,Astrocyte,0.7071782206556615
ARGLYSex,Astrocyte,0.01381665081132406
ARGLYSexInt,Astrocyte,0.0037273033210077572
ARGtiDF,Astrocyte,0.0017510637617132202
ARGtiDFInt,Astrocyte,5.6087998472479e-4
ARGtm,Astrocyte,0.8910855552827306
ASNNm,Astrocyte,0.15451726108330363
ASNt4,Astrocyte,0.00920663488518046
ASNt4Int,Astrocyte,0.0014288322935044864
ASNtm,Astrocyte,0.0017349779335326886
ASPGLUm,Astrocyte,0.9470824570965157
ASPTA,Astrocyte,8.019043804232379e-4
ASPTAm,Astrocyte,0.018374147493078637
ATPtm,Astrocyte,0.036852700738842656
BACCLm,Astrocyte,0.7253082537430118
BALAVECSEC,Astrocyte,0.06200008708252562
BALAVECSECInt,Astrocyte,0.056164308102344435
BALAtmr,Astrocyte,0.0014876197783890068
BAMPPALDOXm,Astrocyte,0.84876726103685
BDHm,Astrocyte,0.6909606191025534
BETALDHxm,Astrocyte,0.8560061859770984
BHBt,Astrocyte,0.05097909958469739
BHBtInt,Astrocyte,0.04284253225472422
BHBtm,Astrocyte,0.8900922887208529
BTNDm,Astrocyte,0.15989094311283197
BTNPLm,Astrocyte,0.6627790519519187
BTNt2,Astrocyte,0.04959076273085984
BTNt2Int,Astrocyte,0.0428425322547294
BTNt2m,Astrocyte,0.9030587344922396
BTNt4i,Astrocyte,0.04959076273089237
BTNt4iInt,Astrocyte,0.042842532254736616
C160CPT2,Astrocyte,0.011204175707152436
C160CRNt,Astrocyte,0.007709009473899756
C204CPT2,Astrocyte,0.005124330905519171
C226CPT2,Astrocyte,0.005124330905534272
C2M26DCOAHLm,Astrocyte,0.14801301400380423
CATm,Astrocyte,0.15917832461723372
CBLATm,Astrocyte,0.7114636864203374
CDPDAGtm,Astrocyte,0.007461911351347126
CDSm,Astrocyte,0.6646022870397325
CHSTEROLt3,Astrocyte,0.028420447229666326
CITRtm,Astrocyte,0.007491706307712045
CITtam,Astrocyte,6.103197309814801e-4
CITtbm,Astrocyte,0.0011633326206503807
CK,Astrocyte,0.01604535394619887
CKc,Astrocyte,0.00803147608966071
CO2t,Astrocyte,0.012992497903326893
CO2tInt,Astrocyte,0.00107526431967222
CO2tm,Astrocyte,0.0010384739789892862
COQ3m,Astrocyte,0.6516735192604921
COQ5m,Astrocyte,0.6481291839470344
COQ6m,Astrocyte,0.15966150295876122
COQ7m,Astrocyte,0.8087437977677104
COUCOAFm,Astrocyte,0.0604546916559587
CPPPGO,Astrocyte,0.05242745916087754
CREATtmdiffir,Astrocyte,0.003009838316039711
CRNt,Astrocyte,0.022258930339819304
CRNtInt,Astrocyte,0.0042782296286126295
CRNtim,Astrocyte,0.06420754512235895
CSNAT2m,Astrocyte,0.0025047084764314473
CSNATm,Astrocyte,0.011109362592428043
CSm,Astrocyte,0.8932449390644812
CYANSTm,Astrocyte,0.6830183075157955
CYANt,Astrocyte,0.031887656480142766
CYANtInt,Astrocyte,0.013108162264703873
CYANtm,Astrocyte,0.0732160627134883
CYSGLUexR,Astrocyte,0.0013205410806040407
CYSGLUexRInt,Astrocyte,0.001335979448506353
CYSGLYex,Astrocyte,7.365262670189689e-4
CYSGLYexR,Astrocyte,7.36526267046628e-4
CYSGLYexInt,Astrocyte,5.53570940499274e-4
CYSO,Astrocyte,0.05559073189688151
CYSTAm,Astrocyte,0.008306222559418172
CYStec,Astrocyte,5.236148060796055e-4
CYStecInt,Astrocyte,5.093951690513696e-4
CYTK1m,Astrocyte,0.013117516343513292
DLACt2,Astrocyte,0.05097909958457778
DLACt2Int,Astrocyte,0.042842532254722183
DLACtm,Astrocyte,0.8900922887208531
DAKm,Astrocyte,7.199359160600485e-4
DCKm,Astrocyte,0.016727385561766
DDPGAm,Astrocyte,0.001213683216894575
DECDPtm,Astrocyte,0.029829066085775298
DGKm,Astrocyte,0.016727385561763477
DGNSKm,Astrocyte,0.7200647086284169
DGSNt,Astrocyte,0.008031806238474328
DGSNtInt,Astrocyte,0.00622519519986683
DGSNtm,Astrocyte,0.04621302396855836
DHDPBMTm,Astrocyte,0.6508566244762827
DHFtm,Astrocyte,0.028407985722430706
DPHMBDCm,Astrocyte,0.707488402877156
DTKm,Astrocyte,0.018957438523875377
DURIK1m,Astrocyte,0.7286508022534741
DUTPDPm,Astrocyte,0.8225440752340132
ECOAH12m,Astrocyte,0.1482262195352645
ECOAH1m,Astrocyte,0.16598468967075533
ECOAH9m,Astrocyte,0.15697076527592121
EHGLAT2m,Astrocyte,0.0017084600096277736
EHGLATm,Astrocyte,0.014171776730742885
ETF,Astrocyte,0.0012051648116484324
ETFQO,Astrocyte,0.0010032250639710322
ETOHMO,Astrocyte,0.051614355244660584
ETOHt,Astrocyte,0.013826733478228704
ETOHtInt,Astrocyte,9.179177988994781e-4
FALDtm,Astrocyte,0.02851169232327385
FCLTm,Astrocyte,0.6484136888109553
FE2t,Astrocyte,0.011502424444862444
FE2tInt,Astrocyte,0.001765623958747868
FE2tm,Astrocyte,0.8913992509478375
FORt2m,Astrocyte,0.028560304883383302
FPGS2m,Astrocyte,0.7880937497428944
FPGS3m,Astrocyte,0.7880332996888152
FPGS4m,Astrocyte,0.7880671502255228
FPGS5m,Astrocyte,0.7876476622081956
FPGS6m,Astrocyte,0.7880332798273264
FPGS7m,Astrocyte,0.7881359720067018
FPGS8m,Astrocyte,0.7880930230021501
FPGS9m,Astrocyte,0.7880332996495765
FPGSm,Astrocyte,0.7925788919091132
FTHFLm,Astrocyte,0.052496527162743126
FUMSO3tm,Astrocyte,6.909448796084888e-4
FUMSO4tm,Astrocyte,0.001605727220157024
FUMTSULtm,Astrocyte,6.341585297634797e-4
FUMm,Astrocyte,0.16283537237635282
FUMtm,Astrocyte,0.018044262788911046
G5SDym,Astrocyte,0.7108474058644623
G6PDH2r,Astrocyte,0.08378661309605681
GCALDDm,Astrocyte,0.8560061859770987
GCC2am,Astrocyte,0.7028997241977811
GCC2bim,Astrocyte,0.0033842836372536176
GCC2cm,Astrocyte,0.6899272415813015
GCCam,Astrocyte,0.7028997241977812
GCCbim,Astrocyte,0.003384283637294607
GCCcm,Astrocyte,0.6899272415813014
GGNG,Astrocyte,0.0541838347334575
GHMT2rm,Astrocyte,0.16850115715374744
GHMT3m,Astrocyte,0.6538863569517285
GLACOm,Astrocyte,0.8560061859770987
GLBRAN,Astrocyte,0.0031115792466860663
GLCt1r,Astrocyte,7.328830254242382e-4
GLCt2r,Astrocyte,0.05042239259709296
GLCt2rInt,Astrocyte,0.04261945271472894
GLDBRAN,Astrocyte,0.010838170453871988
GLGNS1,Astrocyte,0.05408102303742905
GLNS,Astrocyte,0.05399597020725287
GLNtN1,Astrocyte,0.04929278414419889
GLNtN1Int,Astrocyte,0.05119077211120326
GLNtm,Astrocyte,8.305869227382072e-4
GLPASE1,Astrocyte,0.004307549471295152
GLPASE2,Astrocyte,0.010610547474959897
GLU5Km,Astrocyte,0.04231326717525331
GLUDxm,Astrocyte,0.8965265281129762
GLUDym,Astrocyte,0.853352191016021
GLUNm,Astrocyte,0.22708253065373007
GLUTCOADHm,Astrocyte,0.7221833671781319
GLUVESSEC,Astrocyte,0.0622810074630431
GLUt2m,Astrocyte,0.9320810631844536
GLUt6,Astrocyte,0.050925088379700334
GLUt6Int,Astrocyte,0.0581450675617662
GLYATm,Astrocyte,7.021868879758137e-4
GLYCLTDym,Astrocyte,0.64908871699829
GLYCt,Astrocyte,0.03187529416864254
GLYCtInt,Astrocyte,0.01309657855513538
GLYCtm,Astrocyte,0.07321794321361354
GLYKm,Astrocyte,0.7229094854190234
GLYOXm,Astrocyte,0.8035703453272625
GLYt2r,Astrocyte,0.04985188393421984
GLYt2rInt,Astrocyte,0.043157588361227836
GLYtm,Astrocyte,0.0013879011634481727
GND,Astrocyte,0.005617317156816364
GTHOm,Astrocyte,0.6569920820147852
GTHPm,Astrocyte,0.16541508582976897
H2CO3Dm,Astrocyte,0.21903822007710502
H2O2t,Astrocyte,0.015942541650945885
H2O2tInt,Astrocyte,4.6318290373176854e-4
H2O2tm,Astrocyte,0.0017210592173565597
H2Ot,Astrocyte,0.006007274985070188
H2OtInt,Astrocyte,0.004010883189250366
H2Otm,Astrocyte,0.19271207543602734
HACD1m,Astrocyte,0.689663824424626
HACD9m,Astrocyte,0.688607198284326
HBZOPT10m,Astrocyte,0.03355802298027051
HCO3Em,Astrocyte,0.8544811819229354
HIBDm,Astrocyte,0.6919107872348846
HMBS,Astrocyte,0.009690228793491119
HMGCOASim,Astrocyte,0.8992416326648532
HMGLm,Astrocyte,0.0025022031146244186
HPROxm,Astrocyte,0.6888230207745338
Ht,Astrocyte,0.04931472516703089
HtInt,Astrocyte,0.042842532254729296
Htm,Astrocyte,0.8900922887208509
ICDHxm,Astrocyte,0.09269415572369383
ICDHyrm,Astrocyte,0.057172905614753904
ILETA,Astrocyte,0.01910198711758883
ILETAm,Astrocyte,0.009638275069358361
ILEt5m,Astrocyte,3.7353727284457285e-4
ILEtec,Astrocyte,0.016551692595395205
ILEtecInt,Astrocyte,8.193435377969985e-4
IMACTDm,Astrocyte,0.8560061859770987
ITCOAL1m,Astrocyte,0.03843628259886692
ITCOALm,Astrocyte,0.06579682795078656
Kt1r,Astrocyte,6.078610836573871e-4
Kt1rInt,Astrocyte,0.0010227969848596269
LLACt2r,Astrocyte,0.05105374379247995
LLACt2rInt,Astrocyte,0.04277356809951175
LLACtm,Astrocyte,0.8907302675969564
LCADiDm,Astrocyte,0.8560061859771015
LCADim,Astrocyte,0.8566054913792234
LCYSTATm,Astrocyte,0.010774364176309099
LDHL,Astrocyte,0.054168904493451873
LDHLm,Astrocyte,0.6951646714058035
LEUTA,Astrocyte,0.019101987123383207
LEUTAm,Astrocyte,0.009638333575162144
LEUt5m,Astrocyte,3.735372693787488e-4
LEUtec,Astrocyte,0.01655169259648648
LEUtecInt,Astrocyte,8.193435325289331e-4
LSOProd,Astrocyte,0.009013348195644184
LYStiDF,Astrocyte,0.0017512161886722149
LYStiDFInt,Astrocyte,5.608968512148355e-4
LYStm,Astrocyte,0.9040541533812552
LacLtm,Astrocyte,0.0011021063131701446
MALSO3tm,Astrocyte,7.742574303996521e-4
MALSO4tm,Astrocyte,0.0021188397752167835
MALTSULtm,Astrocyte,6.196487911018781e-4
MALtm,Astrocyte,0.02279391494014477
MCCCrm,Astrocyte,0.7598672065921812
MDH,Astrocyte,0.05600817929438627
MDHm,Astrocyte,0.698780097399509
MECOALm,Astrocyte,0.06579682795078556
MECOAS1m,Astrocyte,0.03843628259886573
MGCHrm,Astrocyte,0.15762809968295044
MMCDm,Astrocyte,0.7092202075016468
MMEm,Astrocyte,0.001714165857295663
MMMm,Astrocyte,3.8554573494773065e-4
MMSAD1m,Astrocyte,0.10099977609878213
MMSAD3m,Astrocyte,0.11112673671607821
MTDNAdpolym,Astrocyte,0.808134670858203
MTDNAploym,Astrocyte,0.003860142619373894
MTHFCm,Astrocyte,0.8143369480513944
MTHFDm,Astrocyte,0.01838332024209953
"NABTNOm",Astrocyte,0.8560061859770981
NDPK1,Astrocyte,0.0020966703427660886
NDPK10m,Astrocyte,0.013117516343509251
NDPK1m,Astrocyte,0.01576275564184392
NDPK2m,Astrocyte,0.01311751634352273
NDPK3m,Astrocyte,0.01641673090469403
NDPK4m,Astrocyte,0.013353843687093567
NDPK5m,Astrocyte,0.013353843687106308
NDPK6m,Astrocyte,0.016742501695708935
NDPK7m,Astrocyte,0.013353843687100448
NDPK8m,Astrocyte,0.013411212461431392
NDPK9m,Astrocyte,0.013117516343518936
NH3tm,Astrocyte,0.9143753258768283
NH4t3r,Astrocyte,0.05179927866756661
NH4t3rInt,Astrocyte,0.04256691340363701
NMNATm,Astrocyte,0.7590852709124398
NNATm,Astrocyte,0.7144771713645143
NTD1m,Astrocyte,0.2427549761579309
NTD2m,Astrocyte,0.24767720343829538
NTD5m,Astrocyte,0.24524094213092607
NaKt,Astrocyte,0.06022760254587718
NaKtInt,Astrocyte,0.05199881630458348
O2St,Astrocyte,0.02598443781808337
O2StInt,Astrocyte,0.006992652301306948
O2Stm,Astrocyte,0.06703176529188158
O2t,Astrocyte,0.012388812980224238
O2tInt,Astrocyte,9.771588954495295e-4
O2tm,Astrocyte,0.002652407498924245
OCOAT1m,Astrocyte,0.002630150204251515
OIVD1m,Astrocyte,0.11084752817140175
OIVD2m,Astrocyte,0.1108211516464008
OIVD3m,Astrocyte,0.11082148288099072
ORNTArm,Astrocyte,0.016896203798866218
ORNt3m,Astrocyte,0.8951082994069646
ORNt4m,Astrocyte,0.8952547840991429
ORNtiDF,Astrocyte,0.015349670266198748
ORNtiDFInt,Astrocyte,0.001043380440556958
P45011A1m,Astrocyte,0.8124089473387032
P5CDm,Astrocyte,0.8820849359342288
PCFLOPm,Astrocyte,0.06660435324301106
PCREATtmdiffir,Astrocyte,0.0030098383159910982
PCm,Astrocyte,0.7692353146473482
PDHm,Astrocyte,0.11867445233258521
PEFLIP,Astrocyte,0.062051229222202686
PEFLIPInt,Astrocyte,0.05644627231726993
PEFLIPm,Astrocyte,0.07045793945301253
PETOHMmhs,Astrocyte,0.6517458498689986
PGCD,Astrocyte,0.0994480048212886
PGL,Astrocyte,0.050301534074179075
PHCDm,Astrocyte,0.8497425500215481
PHCHGSm,Astrocyte,0.8035703453272577
PHEMEtm,Astrocyte,0.028443617372451054
PHETA1m,Astrocyte,0.008306222559435151
PIt2m,Astrocyte,0.9624236501192069
PIt7,Astrocyte,0.005558655307409956
PIt7Int,Astrocyte,0.002739369178701729
PNTKm,Astrocyte,0.7155233693781211
PPA2m,Astrocyte,0.8566226027131124
PPAt,Astrocyte,0.03199455274404324
PPAtInt,Astrocyte,0.013128989435484378
PPAtm,Astrocyte,0.0731096493855853
PPBNGS,Astrocyte,0.05056815239476688
PPCOACm,Astrocyte,0.7634212234822497
PPCOAOm,Astrocyte,0.0024287842190101197
PPPG9tm,Astrocyte,0.0031155940517489517
PPPGOm,Astrocyte,0.15070363126138295
PRGNLONEtm,Astrocyte,0.02842044722897623
PRO1xm,Astrocyte,0.6889254436804648
PROD2m,Astrocyte,0.6538858078855242
PROt2r,Astrocyte,0.050912055295999695
PROt2rInt,Astrocyte,0.04281835740586298
PROtm,Astrocyte,0.0014343462555443949
PRPNCOAHYDm,Astrocyte,0.14838049436258635
PSDmhs,Astrocyte,0.7113031281836322
PSERT,Astrocyte,8.893118049907502e-4
PSFLIP,Astrocyte,0.06205122922225785
PSFLIPInt,Astrocyte,0.056446272317230595
PSFLIPm,Astrocyte,0.06558099863531269
PSPL,Astrocyte,0.009565582708619139
PYLALDOXm,Astrocyte,0.8560061859770981
PYRt2m,Astrocyte,0.8987472440656911
PYRt2r,Astrocyte,0.051189502131903784
PYRt2rInt,Astrocyte,0.042734130169811944
RPE,Astrocyte,6.536409614768388e-4
RPI,Astrocyte,0.0014591215606490086
SACCD3m,Astrocyte,0.8551142463130158
SACCD4m,Astrocyte,0.837686973406523
SARCStex,Astrocyte,0.02866934693921946
SARCStexInt,Astrocyte,0.0030613005008100595
SARCStm,Astrocyte,0.05143062591586795
SARDHm,Astrocyte,0.01988613787072116
SERGLNexR,Astrocyte,0.0015745551636902643
SERGLNexRInt,Astrocyte,9.557347041493921e-4
SERGLYexR,Astrocyte,0.0011372768200773541
SERGLYexRInt,Astrocyte,5.854698561571553e-4
SERt4,Astrocyte,0.0012808711775759883
SERt4Int,Astrocyte,0.0011485508862269576
SERtm,Astrocyte,6.617134264636611e-4
SLDxm,Astrocyte,0.6918516707705797
SO4HCOtex,Astrocyte,0.028007233453683937
SO4HCOtexInt,Astrocyte,6.074576047997847e-4
SPODMm,Astrocyte,0.6710899402426953
SSALxm,Astrocyte,0.8695676006156139
SUCCt2m,Astrocyte,0.019954037527982717
SUCD1m,Astrocyte,0.0023816102788554927
SUCOAS1m,Astrocyte,0.02558189964970253
SUCOASm,Astrocyte,0.072807030913049
SULFOX,Astrocyte,0.05238470654869239
T2M26DCOAHLm,Astrocyte,0.14801301400380476
T4HCINNMFM,Astrocyte,0.1597091743997735
TALA,Astrocyte,0.021750854117213985
TCYNTt,Astrocyte,0.03188765648042345
TCYNTtInt,Astrocyte,0.013108162265234454
TCYNTtm,Astrocyte,0.07321606271230745
THD1m,Astrocyte,0.9464065708190039
THFtm,Astrocyte,0.012128574326418168
TKT1,Astrocyte,0.011805525996672032
TKT2,Astrocyte,0.022970061810425966
TMDK1m,Astrocyte,0.7286808769537625
TRDRm,Astrocyte,0.6468992997357709
TYRTAm,Astrocyte,0.015805237996719596
UPP3S,Astrocyte,0.004283641528120532
UPPDC1,Astrocyte,0.05498119752368072
UREAt,Astrocyte,0.031975981273332184
UREAtInt,Astrocyte,0.013142856618220572
UREAtm,Astrocyte,0.0731880988585033
VALTA,Astrocyte,0.01910198711780347
VALTAm,Astrocyte,0.009638274323070076
VALt5m,Astrocyte,3.73537272819144e-4
VALtec,Astrocyte,0.01655169259520265
VALtecInt,Astrocyte,8.193435377039203e-4
VITD2Hm,Astrocyte,0.8102657574454655
VITD2tm,Astrocyte,0.02841916296269741
VITD3Hm,Astrocyte,0.810256078583206
VITD3tm,Astrocyte,0.004470450782703923
VITD3tm3,Astrocyte,0.00447045078235367
