,ID,cell,AbsoluteOP,mean_shift_clusters
0,3AIBtm,Astrocyte,1.2889100096898678,0
1,4HBZFm,Astrocyte,3.660477530319566,1
2,6THFtm,Astrocyte,7.263901913130885,2
3,AATAi,Astrocyte,0.7334492084602735,0
4,ACYP,Astrocyte,1.1887578226044804,0
5,ADPRDPm,Astrocyte,5.703463309070322,2
6,AKGDm,Astrocyte,2.683820573254564,1
7,AKGMALtm,Astrocyte,0.0083299759164572,0
8,ALCD2if,Astrocyte,0.5368627547837999,0
9,ALDD2x,Astrocyte,4.802255666021223,1
10,ALDD2xm,Astrocyte,5.417648480781453,2
11,ALDD2y,Astrocyte,4.70216616083979,1
12,AOBUTDsm,Astrocyte,3.9042498064042905,1
13,ASNNm,Astrocyte,4.485913096500468,1
14,ASNt4,Astrocyte,0.4169727001482547,0
15,ASPGLUm,Astrocyte,2.8872709503576206,1
16,ATPS4m,Astrocyte,4.336849711947838,1
17,ATPtm,Astrocyte,4.030679219550915,1
18,BTNPLm,Astrocyte,5.703463309070322,2
19,BTNt2,Astrocyte,0.0333184588337161,0
20,BTNt4i,Astrocyte,0.0333184588337161,0
21,CATm,Astrocyte,0.0124949187188364,0
22,CO2t,Astrocyte,7.019930408984572,2
23,CYOOm2,Astrocyte,1.762747174039086,1
24,CYOR-u10m,Astrocyte,0.0249893497849514,0
25,CYSGLUexR,Astrocyte,5.522954226197244,2
26,CYSO,Astrocyte,3.472555172923602,1
27,DGNSKm,Astrocyte,2.596565106312987,1
28,DPGase,Astrocyte,1.1887578226044804,0
29,DURIK1m,Astrocyte,4.33681771289059,1
30,ENO,Astrocyte,3.90264245664256,1
31,ETF,Astrocyte,4.334558807848656,1
32,ETOHMO,Astrocyte,4.827562829587738,1
33,FBA,Astrocyte,2.627913194302689,1
34,FORt2m,Astrocyte,0.0166598073361702,0
35,FPGS3m,Astrocyte,8.649145627471267,2
36,FPGS7m,Astrocyte,8.865484218571794,2
37,FTHFLm,Astrocyte,0.0166598073361702,0
38,GAPD,Astrocyte,3.904961477660729,1
39,GCC2bim,Astrocyte,2.8872709503576224,1
40,GCCbim,Astrocyte,2.8872709503576224,1
41,GHMT2rm,Astrocyte,0.0166598073361702,0
42,GLCt1r,Astrocyte,8.797137510631968,2
43,GLCt2r,Astrocyte,8.39545714206069,2
44,GLNS,Astrocyte,2.9479465135204386,1
45,GLUDxm,Astrocyte,0.0083299759164572,0
46,GLUNm,Astrocyte,1.1887578226044773,0
47,GLUVESSEC,Astrocyte,6.830389256979861,2
48,GLUt2m,Astrocyte,0.0083299759164572,0
49,GLUt6,Astrocyte,6.657671599134456,2
50,GLYCLTDym,Astrocyte,5.375427799589212,2
51,GLYKm,Astrocyte,4.035910577836287,1
52,GLYOXm,Astrocyte,3.294462292742192,1
53,GLYtm,Astrocyte,0.0166598073361702,0
54,GTHOm,Astrocyte,0.9624236501192068,0
55,H2O2tm,Astrocyte,0.0249893497849514,0
56,H2Ot,Astrocyte,2.944318317352816,1
57,HEX1,Astrocyte,2.627913194302689,1
58,HMGCOASim,Astrocyte,4.33681771289059,1
59,Htm,Astrocyte,0.191298176735767,0
60,ICDHxm,Astrocyte,0.0166598073361702,0
61,ICDHyrm,Astrocyte,0.0166598073361702,0
62,L-LACtm,Astrocyte,2.8872709503576224,1
63,LCADi_Dm,Astrocyte,2.8872709503576206,1
64,LDH_L,Astrocyte,3.907277918803482,1
65,LSOProd,Astrocyte,0.0499747993755401,0
66,MALtm,Astrocyte,0.0083299759164572,0
67,MMCDm,Astrocyte,4.33681771289059,1
68,MMSAD1m,Astrocyte,4.685735825123599,1
69,MMSAD3m,Astrocyte,1.714013167417512,0
70,MTHFCm,Astrocyte,0.0166598073361702,0
71,MTHFDm,Astrocyte,0.0166598073361702,0
72,NADH2-u10m,Astrocyte,0.0249893497849514,0
73,O2Stm,Astrocyte,0.0499747993755401,0
74,O2t,Astrocyte,7.020428002268338,2
75,O2tm,Astrocyte,0.0374828057168862,0
76,P45011A1m,Astrocyte,0.9624236501192068,0
77,PCFLOPm,Astrocyte,1.1887578226044773,0
78,PCm,Astrocyte,5.63616600721822,2
79,PDHm,Astrocyte,1.1247661425079305,0
80,PEFLIP,Astrocyte,1.1887578226044773,0
81,PEFLIPm,Astrocyte,1.1887578226044773,0
82,PFK,Astrocyte,2.627913194302689,1
83,PGCD,Astrocyte,0.0083299759164572,0
84,PGI,Astrocyte,2.627913194302689,1
85,PGK,Astrocyte,3.904961477660729,1
86,PGM,Astrocyte,3.90264245664256,1
87,PIt2m,Astrocyte,0.0083299759164568,0
88,PNTKm,Astrocyte,4.603189026474614,1
89,PRO1xm,Astrocyte,4.334558807848657,1
90,PSERT,Astrocyte,0.0083299759164572,0
91,PSFLIP,Astrocyte,1.1887578226044773,0
92,PSFLIPm,Astrocyte,1.1887578226044773,0
93,PSP_L,Astrocyte,0.0083299759164572,0
94,PYK,Astrocyte,3.90264245664256,1
95,SERGLNexR,Astrocyte,5.522954226197244,2
96,SERt4,Astrocyte,0.4169727001482541,0
97,SPODMm,Astrocyte,0.9624236501192068,0
98,SSALxm,Astrocyte,4.8004573170751845,1
99,TMDK1m,Astrocyte,4.33681771289059,1
100,TPI,Astrocyte,2.627913194302689,1
101,MTDNAploym,Astrocyte,2.9103830456733704e-11,0
102,DCKm,Astrocyte,8.1226257003593,2
103,DGKm,Astrocyte,5.974435006756574,2
104,NH3tm,Astrocyte,0.0083299759164572,0
105,GLGNS1,Astrocyte,10.325232691930314,2
106,SERtm,Astrocyte,0.0166598073361702,0
107,LacLtm,Astrocyte,2.8872709503576224,1
108,GLNtN1,Astrocyte,5.469373144284632,2
109,CREATtmdiffir,Astrocyte,4.030679219550915,1
110,ALATA_L,Astrocyte,0.01665980733617,0
111,ASNt4_Int,Astrocyte,0.4169727001482547,0
112,BTNt2_Int,Astrocyte,1.808061648632798,1
113,BTNt4i_Int,Astrocyte,1.808061648632798,1
114,CO2t_Int,Astrocyte,7.019930408984572,2
115,CYSGLUexR_Int,Astrocyte,2.1076495206921666,1
116,GLCt2r_Int,Astrocyte,8.39545714206069,2
117,GLUt6_Int,Astrocyte,2.9479465135204386,1
118,GLYt2r_Int,Astrocyte,0.0083299759164573,0
119,H2O2t_Int,Astrocyte,0.0249893497849514,0
120,Kt1r_Int,Astrocyte,1.288234031433958,0
121,L-LACt2r_Int,Astrocyte,3.907277918803482,1
122,NH4t3r_Int,Astrocyte,2.944318317352816,1
123,NaKt_Int,Astrocyte,2.2516401754363784,1
124,O2St_Int,Astrocyte,0.0499747993755401,0
125,O2t_Int,Astrocyte,7.018187858667144,2
126,ORNtiDF_Int,Astrocyte,0.6009177399844877,0
127,PEFLIP_Int,Astrocyte,1.1887578226044773,0
128,PPAt_Int,Astrocyte,5.862210223487413,2
129,PSFLIP_Int,Astrocyte,1.1887578226044773,0
130,PYRt2r_Int,Astrocyte,2.6517955338022734,1
131,SERGLNexR_Int,Astrocyte,2.1076495206921666,1
132,SERGLYexR_Int,Astrocyte,0.0083299759164573,0
133,SERt4_Int,Astrocyte,0.4169727001482547,0
134,GLNtN1_Int,Astrocyte,2.9479465135204386,1
135,ALAtN1_Int,Astrocyte,0.01665980733617,0
136,ALDH1L1,Astrocyte,4.09767714937975,1
